Dates,1,2,3,4,5,6,7,8
1979-05-01,21.928,21.928,21.928,21.928,21.928,21.928,21.928,21.928
1979-05-02,22.055,22.055,22.055,22.055,22.055,22.055,22.055,22.055
1979-05-03,22.41,22.41,22.41,22.41,22.41,22.41,22.41,22.41
1979-05-04,21.896,21.896,21.896,21.896,21.896,21.896,21.896,21.896
1979-05-05,27.301,27.301,27.301,27.301,27.301,27.301,27.301,27.301
1979-05-06,22.585,22.585,22.585,22.585,22.585,22.585,22.585,22.585
1979-05-07,23.653,23.653,23.653,23.653,23.653,23.653,23.653,23.653
1979-05-08,22.824,22.824,22.824,22.824,22.824,22.824,22.824,22.824
1979-05-09,22.313,22.313,22.313,22.313,22.313,22.313,22.313,22.313
1979-05-10,22.718,22.718,22.718,22.718,22.718,22.718,22.718,22.718
1979-05-11,22.204,22.204,22.204,22.204,22.204,22.204,22.204,22.204
1979-05-12,22.881,22.881,22.881,22.881,22.881,22.881,22.881,22.881
1979-05-13,21.677,21.677,21.677,21.677,21.677,21.677,21.677,21.677
1979-05-14,23.095,23.095,23.095,23.095,23.095,23.095,23.095,23.095
1979-05-15,22.631,22.631,22.631,22.631,22.631,22.631,22.631,22.631
1979-05-16,22.453,22.453,22.453,22.453,22.453,22.453,22.453,22.453
1979-05-17,22.153,22.153,22.153,22.153,22.153,22.153,22.153,22.153
1979-05-18,22.018,22.018,22.018,22.018,22.018,22.018,22.018,22.018
1979-05-19,22.879,22.879,22.879,22.879,22.879,22.879,22.879,22.879
1979-05-20,21.713,21.713,21.713,21.713,21.713,21.713,21.713,21.713
1979-05-21,22.591,22.591,22.591,22.591,22.591,22.591,22.591,22.591
1979-05-22,21.651,21.651,21.651,21.651,21.651,21.651,21.651,21.651
1979-05-23,21.087,21.087,21.087,21.087,21.087,21.087,21.087,21.087
1979-05-24,22.239,22.239,22.239,22.239,22.239,22.239,22.239,22.239
1979-05-25,22.565,22.565,22.565,22.565,22.565,22.565,22.565,22.565
1979-05-26,22.219,22.219,22.219,22.219,22.219,22.219,22.219,22.219
1979-05-27,23.077,23.077,23.077,23.077,23.077,23.077,23.077,23.077
1979-05-28,23.68,23.68,23.68,23.68,23.68,23.68,23.68,23.68
1979-05-29,21.526,21.526,21.526,21.526,21.526,21.526,21.526,21.526
1979-05-30,21.396,21.396,21.396,21.396,21.396,21.396,21.396,21.396
1979-05-31,21.426,21.426,21.426,21.426,21.426,21.426,21.426,21.426
1979-06-01,21.662,21.662,21.662,21.662,21.662,21.662,21.662,21.662
1979-06-02,21.448,21.448,21.448,21.448,21.448,21.448,21.448,21.448
1979-06-03,21.686,21.686,21.686,21.686,21.686,21.686,21.686,21.686
1979-06-04,20.631,20.631,20.631,20.631,20.631,20.631,20.631,20.631
1979-06-05,21.492,21.492,21.492,21.492,21.492,21.492,21.492,21.492
